Description,Quantity,UnitPrice,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority,Quantity_Group
1,1,29.3,3,0.31,0,24.75,2,1,0,2,0,1,Low
7,31,6.32,11,0.29,1,14.53,1,0,1,2,1,2,Medium
4,43,94.69,9,0.35,2,25.57,4,0,0,1,0,2,High
7,48,17.1,1,0.22,0,10.41,4,0,0,2,4,2,High
8,2,9.97,10,0.45,0,9.77,3,0,0,0,3,0,Low
6,2,70.73,6,0.44,2,15.7,0,1,0,3,2,0,Low
4,11,64.7,2,0.2,0,16.31,3,0,0,2,2,1,Low
3,9,61.96,9,0.45,0,27.97,3,1,0,3,4,0,Low
2,3,92.9,4,0.09,2,10.71,1,0,0,2,3,2,Low
4,33,91.98,1,0.26,1,23.68,0,0,0,3,2,1,Medium
4,23,72.43,8,0.23,1,5.72,1,0,0,3,4,0,Medium
5,44,35.06,11,0.07,0,24.95,1,0,0,2,4,2,High
5,18,8.24,9,0.15,2,13.9,3,1,1,3,2,2,Medium
2,10,80.01,9,0.08,1,25.76,3,0,0,2,1,2,Low
8,16,72.16,9,0.31,1,29.25,4,1,0,2,4,2,Medium
2,48,33.3,9,0.13,0,19.86,3,1,0,2,1,0,High
10,27,33.29,0,0.14,1,24.68,1,1,0,2,4,0,Medium
8,4,8.83,0,0.02,2,12.28,4,0,0,0,3,1,Low
10,43,63.33,4,0.48,1,22.33,1,1,0,2,4,2,High
10,1,45.77,9,0.47,2,28.62,0,0,0,0,1,1,Low
3,46,76.24,4,0.22,0,11.58,1,0,0,3,0,0,High
6,46,73.26,11,0.03,2,11.95,3,1,0,1,1,2,High
5,40,31.67,10,0.34,2,26.38,4,0,0,3,3,1,High
2,9,40.47,8,0.04,1,28.78,3,0,0,2,0,1,Low
9,43,35.87,5,0.18,1,18.47,4,1,0,0,3,1,High
10,29,17.4,9,0.12,2,7.47,4,1,0,3,3,2,Medium
2,46,37.0,9,0.0,0,5.35,1,1,0,2,1,2,High
1,37,56.35,10,0.24,1,25.73,0,1,0,2,1,0,High
4,1,21.9,9,0.37,0,28.54,4,0,1,0,2,1,Low
4,19,66.44,1,0.05,0,14.85,3,1,0,1,0,2,Medium
3,13,13.26,4,0.48,1,24.85,3,1,0,0,3,0,Low
2,46,44.8,9,0.22,2,21.6,4,0,0,1,3,2,High
5,9,12.94,3,0.27,1,15.62,4,1,0,3,4,1,Low
9,22,61.8,11,0.21,0,19.76,4,1,0,3,2,2,Medium
4,25,48.12,11,0.37,1,25.97,3,0,0,2,2,1,Medium
8,9,81.76,0,0.5,1,16.34,2,1,0,3,1,2,Low
0,35,42.38,4,0.3,2,15.17,0,1,0,3,3,1,Medium
4,46,54.17,11,0.41,2,15.99,4,1,0,2,0,1,High
4,46,68.36,9,0.44,0,11.63,0,1,0,1,4,2,High
0,42,2.66,4,0.25,0,7.77,3,1,0,1,3,2,High
8,9,92.71,11,0.23,2,16.2,2,1,0,3,4,0,Low
4,7,54.61,11,0.48,2,25.46,4,1,0,3,4,0,Low
7,17,97.06,11,0.08,2,8.32,4,1,0,2,1,1,Medium
1,12,13.23,5,0.08,1,21.1,2,1,0,1,1,1,Low
4,9,36.35,8,0.2,2,25.99,0,1,0,3,0,0,Low
1,6,11.87,4,0.02,0,26.87,2,0,0,2,1,0,Low
0,24,39.15,10,0.3,2,27.11,2,0,0,1,3,2,Medium
2,19,9.82,9,0.34,2,29.2,4,1,0,3,1,0,Medium
4,17,18.45,11,0.03,2,12.55,2,0,0,2,4,0,Medium
7,14,12.17,3,0.46,2,17.46,2,0,0,0,1,0,Low
0,1,58.52,7,0.31,1,6.69,4,0,0,0,3,1,Low
0,47,59.61,11,0.23,0,18.33,3,1,0,1,0,0,High
7,18,72.26,0,0.43,1,11.45,2,1,1,3,3,0,Medium
6,30,70.66,7,0.42,2,28.81,0,0,0,3,0,2,Medium
5,49,74.13,8,0.2,2,25.74,1,1,0,3,0,2,High
9,24,91.52,5,0.16,0,15.45,0,0,0,1,2,1,Medium
3,18,86.79,8,0.09,0,26.69,1,0,0,3,3,0,Medium
8,11,45.93,11,0.47,2,9.27,0,0,0,1,3,2,Low
7,37,12.56,5,0.06,1,14.62,2,0,0,2,3,0,High
0,34,6.68,11,0.26,0,23.84,2,0,0,3,0,0,Medium
4,38,64.35,2,0.06,0,8.7,3,0,0,1,4,2,High
4,2,50.71,1,0.49,0,9.71,4,1,0,2,0,0,Low
9,36,77.45,10,0.38,0,26.18,2,1,0,1,3,2,High
2,27,83.0,8,0.36,2,10.21,3,0,0,1,1,1,Medium
0,8,9.26,11,0.24,0,17.08,3,0,0,1,2,2,Low
9,16,32.74,9,0.05,1,7.65,3,0,0,1,3,2,Medium
1,15,43.08,5,0.16,0,18.42,2,0,0,1,0,1,Low
1,1,46.4,11,0.09,0,14.11,4,1,0,1,2,0,Low
8,26,3.43,5,0.04,0,21.25,1,0,0,0,2,1,Medium
1,31,41.23,10,0.1,2,12.11,3,0,0,2,1,1,Medium
2,36,36.46,3,0.14,2,12.69,3,0,0,0,4,1,High
8,3,5.93,5,0.32,1,18.96,4,0,0,2,3,2,Low
3,1,22.62,2,0.36,0,25.11,0,0,0,0,3,2,Low
4,4,67.86,2,0.48,2,7.17,0,0,0,1,0,2,Low
9,10,34.15,3,0.46,1,10.33,0,0,0,3,1,0,Low
5,33,80.37,6,0.33,2,9.02,1,0,0,3,0,0,Medium
5,7,23.15,9,0.03,1,28.01,2,0,0,3,2,1,Low
6,15,51.18,9,0.34,1,15.5,2,0,1,1,0,0,Low
2,9,81.93,9,0.46,2,27.54,4,0,0,2,2,2,Low
6,48,48.91,7,0.36,2,21.8,4,1,0,2,2,1,High
0,5,99.93,0,0.37,0,5.84,3,0,0,2,2,0,Low
9,33,54.1,8,0.03,2,18.18,2,1,0,1,4,2,Medium
6,42,20.82,3,0.04,0,20.18,0,1,0,2,0,1,High
6,49,74.08,5,0.22,0,8.4,3,0,0,0,4,0,High
4,29,60.7,10,0.15,1,11.18,1,1,0,3,2,1,Medium
6,25,62.77,9,0.35,2,21.51,2,1,0,3,3,0,Medium
3,19,35.91,10,0.05,1,22.31,4,0,0,3,3,1,Medium
2,17,27.14,6,0.48,1,12.22,3,0,0,0,4,0,Medium
4,29,22.28,3,0.31,1,28.15,0,0,0,2,1,0,Medium
10,21,8.62,3,0.29,1,17.43,4,1,0,2,4,1,Medium
8,15,34.35,5,0.24,0,23.94,3,1,0,0,0,0,Low
5,26,8.72,9,0.11,2,22.02,3,1,0,1,2,1,Medium
4,3,43.96,7,0.29,1,8.21,0,1,0,1,2,0,Low
1,42,21.38,6,0.28,0,22.2,4,0,0,1,4,0,High
2,30,37.11,11,0.39,0,13.23,0,1,0,1,3,1,Medium
8,17,56.57,7,0.32,0,9.98,3,0,0,3,3,2,Medium
2,49,77.77,11,0.21,2,17.97,2,1,0,0,0,0,High
3,6,33.44,6,0.23,2,12.39,1,1,0,0,0,1,Low
1,13,29.71,4,0.36,2,10.14,1,1,0,1,2,1,Low
8,7,11.32,11,0.25,1,28.15,4,0,1,2,1,0,Low
7,41,2.88,3,0.26,0,18.53,3,1,0,1,1,2,High
2,16,55.14,10,0.49,0,10.12,0,1,0,2,1,1,Medium
0,5,56.96,10,0.35,1,18.15,4,0,0,1,3,2,Low
0,17,38.88,2,0.49,2,13.98,1,1,0,0,2,0,Medium
8,1,32.74,6,0.11,1,16.86,0,1,0,0,2,0,Low
3,9,97.29,11,0.13,2,16.5,3,1,1,0,0,2,Low
2,13,8.29,6,0.23,1,8.91,0,0,0,0,0,2,Low
6,28,20.21,10,0.44,1,24.19,3,0,0,0,2,1,Medium
1,41,75.72,5,0.02,2,9.98,2,1,0,0,0,0,High
1,21,21.95,5,0.18,0,27.07,0,1,0,3,0,0,Medium
7,7,71.46,4,0.09,2,23.77,2,1,0,3,4,2,Low
4,5,93.86,6,0.48,2,18.69,2,0,0,1,1,1,Low
4,8,72.65,1,0.5,0,29.16,1,1,0,0,0,0,Low
3,23,80.61,1,0.35,0,15.88,3,1,0,1,2,0,Medium
10,33,78.99,2,0.03,1,7.41,2,1,0,3,0,1,Medium
9,1,40.98,7,0.36,1,17.16,0,1,0,0,0,2,Low
10,30,16.65,3,0.15,2,15.45,4,1,0,1,0,0,Medium
2,24,21.58,11,0.39,0,21.81,2,0,0,1,0,0,Medium
10,23,93.48,0,0.17,2,6.14,2,1,0,0,1,2,Medium
0,21,8.94,5,0.29,0,29.36,4,0,0,3,4,2,Medium
9,13,38.11,2,0.25,2,22.93,2,1,0,0,3,0,Low
7,34,62.91,0,0.23,0,29.16,1,0,0,3,2,1,Medium
10,41,18.23,7,0.12,1,20.9,3,0,0,0,3,1,High
6,23,14.67,0,0.32,2,26.1,1,1,0,2,4,2,Medium
5,38,62.24,4,0.49,0,25.14,2,0,0,3,2,0,High
8,21,87.36,0,0.42,1,25.54,2,0,0,2,0,0,Medium
0,22,92.1,3,0.44,0,25.73,3,0,0,3,0,2,Medium
3,47,68.78,9,0.22,0,19.26,1,0,0,0,2,0,High
4,41,71.8,3,0.34,2,14.26,0,1,0,3,0,1,High
7,46,93.89,10,0.29,1,21.81,4,0,1,1,3,0,High
5,41,39.49,1,0.08,1,5.74,2,1,0,1,4,0,High
4,29,97.48,6,0.4,1,14.26,2,0,0,3,3,1,Medium
10,23,31.23,7,0.24,0,19.54,1,0,0,0,3,0,Medium
1,22,36.98,7,0.06,1,6.35,0,0,1,3,3,0,Medium
0,34,76.28,11,0.03,2,22.78,0,0,0,0,1,0,Medium
9,8,71.77,6,0.34,0,29.54,0,0,0,3,0,2,Low
0,24,5.75,9,0.16,2,27.91,4,1,0,2,2,2,Medium
5,44,63.8,9,0.21,1,11.09,3,0,1,2,4,1,High
8,9,60.69,7,0.22,2,25.64,2,0,0,0,3,1,Low
5,31,88.48,7,0.11,1,16.85,3,0,0,3,0,1,Medium
0,11,30.58,4,0.03,1,20.55,1,0,0,2,4,0,Low
8,49,91.28,7,0.48,2,9.68,2,1,0,1,0,2,High
6,38,22.45,2,0.34,1,26.42,3,1,0,1,3,0,High
0,31,39.87,11,0.08,2,14.57,0,0,0,0,1,0,Medium
3,3,20.92,5,0.35,1,15.3,4,1,0,0,1,0,Low
5,25,46.64,3,0.43,2,21.72,1,0,0,1,1,0,Medium
8,13,47.79,2,0.23,0,16.92,3,0,0,0,4,1,Low
0,16,79.48,8,0.48,1,19.43,4,0,0,0,0,2,Medium
8,44,74.54,0,0.12,0,25.39,1,0,0,3,1,0,High
1,22,58.61,1,0.48,0,14.79,2,1,0,1,0,0,Medium
0,13,55.14,2,0.39,2,19.39,3,1,1,0,4,2,Low
0,19,69.31,10,0.24,2,18.3,2,0,0,1,2,1,Medium
8,28,15.67,7,0.2,1,22.96,3,1,0,0,3,0,Medium
8,21,59.0,11,0.23,2,24.22,2,1,0,1,1,2,Medium
5,26,91.12,4,0.12,1,5.29,2,1,1,0,2,1,Medium
4,41,31.28,4,0.01,0,29.75,3,0,0,2,2,1,High
0,42,3.33,10,0.22,2,23.59,1,1,0,2,3,1,High
0,17,1.44,10,0.34,0,7.65,4,1,0,3,1,2,Medium
8,7,4.22,2,0.43,2,22.0,4,1,1,1,4,1,Low
6,26,74.88,8,0.41,0,12.68,3,1,0,1,1,1,Medium
2,24,86.7,1,0.45,1,5.99,3,0,0,3,1,2,Medium
1,17,1.36,5,0.0,1,14.52,0,0,0,2,2,0,Medium
8,4,30.86,11,0.08,0,23.61,0,1,0,3,1,0,Low
5,16,39.63,1,0.13,0,24.46,3,1,0,1,3,1,Medium
4,20,92.34,4,0.01,0,16.13,2,1,0,2,0,0,Medium
10,33,69.02,1,0.14,2,8.44,1,0,1,0,3,0,Medium
0,38,53.98,8,0.37,1,25.69,2,1,0,2,1,1,High
1,49,49.2,0,0.0,0,26.19,0,1,0,1,3,1,High
9,28,24.07,6,0.28,1,13.58,1,0,0,1,1,2,Medium
10,18,68.74,10,0.28,2,16.72,4,0,0,2,0,0,Medium
4,12,12.78,9,0.37,2,12.69,2,1,0,3,4,0,Low
1,37,79.79,5,0.49,2,7.78,1,0,0,1,4,2,High
7,49,25.42,1,0.26,0,23.01,4,0,1,3,1,2,High
8,20,1.0,1,0.09,0,29.42,1,0,0,2,1,0,Medium
0,5,74.61,9,0.46,2,20.85,1,0,1,3,4,2,Low
5,42,83.2,9,0.3,2,27.98,0,0,0,1,4,1,High
3,36,75.94,0,0.35,1,26.33,3,1,0,2,2,0,High
5,11,29.64,0,0.37,2,6.98,2,0,0,2,0,0,Low
3,41,17.03,4,0.49,2,17.11,0,0,0,0,4,0,High
4,32,2.71,6,0.38,2,25.44,1,1,0,2,1,2,Medium
9,1,8.82,3,0.22,1,24.22,4,0,0,0,4,1,Low
9,22,38.97,1,0.41,2,29.96,3,0,0,1,2,1,Medium
2,22,29.16,0,0.2,2,11.41,4,0,0,2,0,2,Medium
5,13,92.29,6,0.34,2,14.88,4,0,0,3,2,2,Low
8,47,23.57,4,0.11,2,6.95,0,1,0,3,2,2,High
10,5,52.6,7,0.31,0,5.12,0,1,1,2,0,1,Low
1,31,95.86,1,0.25,0,15.55,4,1,0,2,3,2,Medium
10,16,44.0,5,0.44,0,13.87,2,0,0,0,3,0,Medium
7,30,90.15,7,0.07,1,28.09,4,0,1,0,0,1,Medium
6,26,78.05,1,0.06,1,12.08,0,1,0,3,4,1,Medium
5,19,34.44,1,0.07,0,5.82,1,1,0,2,3,0,Medium
8,9,67.91,8,0.04,1,9.5,0,0,0,3,4,0,Low
3,5,31.55,6,0.07,2,26.92,3,0,0,1,1,1,Low
8,10,69.25,11,0.18,2,27.3,3,0,1,2,4,2,Low
0,33,54.71,11,0.36,0,20.13,3,1,0,2,1,0,Medium
1,25,1.71,3,0.06,2,29.4,4,0,0,3,4,1,Medium
8,8,82.22,10,0.09,1,5.88,1,0,0,1,4,1,Low
3,26,11.09,8,0.13,1,28.37,2,1,0,0,4,2,Medium
2,32,64.1,1,0.16,1,6.94,1,0,0,3,1,1,Medium
9,23,63.93,7,0.07,1,11.73,3,1,0,1,3,2,Medium
3,12,26.79,1,0.06,1,24.9,0,0,0,3,4,2,Low
8,38,1.57,3,0.4,0,19.21,4,0,0,2,0,1,High
0,32,69.56,5,0.09,2,28.33,3,0,1,3,3,0,Medium
9,32,99.06,6,0.41,2,7.49,4,0,0,2,3,2,Medium
6,26,55.73,7,0.14,2,11.61,0,1,1,1,3,2,Medium
6,2,89.72,11,0.35,1,25.98,2,1,0,2,2,0,Low
2,30,78.83,2,0.04,2,25.35,3,1,0,3,4,2,Medium
2,39,46.46,7,0.39,1,16.89,2,1,1,3,0,0,High
6,35,54.76,9,0.31,1,26.68,0,0,0,0,0,0,Medium
7,5,68.36,10,0.37,0,17.85,0,0,0,0,2,2,Low
9,20,76.57,3,0.08,2,7.36,4,1,0,2,0,1,Medium
5,17,20.71,4,0.44,0,7.57,3,0,0,2,0,2,Medium
2,23,36.91,6,0.17,1,10.1,0,1,0,1,1,0,Medium
9,33,69.09,0,0.03,0,19.56,2,0,0,3,2,1,Medium
4,40,43.37,9,0.25,2,6.42,0,0,0,2,0,0,High
9,46,55.41,9,0.03,2,16.61,1,0,0,3,0,2,High
3,45,72.89,7,0.01,1,22.38,4,1,0,3,4,1,High
8,12,8.16,0,0.36,2,13.25,0,1,0,0,2,2,Low
8,28,95.02,8,0.02,0,9.89,4,1,0,0,1,2,Medium
8,5,77.08,9,0.16,2,12.12,3,0,0,0,1,1,Low
3,22,32.63,3,0.35,1,26.48,0,1,0,2,3,0,Medium
10,2,93.39,6,0.11,2,8.49,3,0,0,2,2,2,Low
5,41,30.42,4,0.5,0,12.4,0,0,0,3,4,2,High
3,2,99.18,5,0.14,2,15.18,4,0,0,3,0,2,Low
2,33,48.01,7,0.22,0,14.6,2,1,0,1,3,0,Medium
3,5,46.17,8,0.31,2,11.85,1,0,0,0,0,2,Low
8,24,57.93,7,0.03,2,29.38,1,1,0,2,4,0,Medium
6,19,93.58,2,0.17,1,24.6,4,0,1,1,3,0,Medium
8,38,98.34,1,0.14,1,6.64,2,1,0,1,3,0,High
5,29,22.97,4,0.16,0,15.45,1,0,0,2,0,0,Medium
10,41,23.75,5,0.45,0,9.37,0,1,0,2,1,0,High
6,44,40.83,9,0.28,1,20.1,3,1,0,0,0,1,High
2,8,83.03,3,0.42,0,5.81,2,0,0,3,3,2,Low
0,38,63.47,6,0.13,0,24.78,4,0,1,2,1,1,High
3,4,14.95,0,0.27,1,23.35,3,0,0,1,4,2,Low
10,7,52.82,2,0.27,0,22.72,2,1,1,2,0,1,Low
1,25,83.86,7,0.38,2,5.32,4,0,0,2,2,2,Medium
4,2,3.47,7,0.21,2,23.73,0,1,0,3,0,1,Low
9,7,43.72,7,0.23,2,18.84,3,0,0,3,0,2,Low
4,46,12.65,6,0.09,0,15.88,3,1,0,2,4,0,High
7,8,47.74,5,0.06,0,8.8,4,0,0,1,4,0,Low
8,29,53.45,6,0.36,1,27.26,4,1,0,2,0,1,Medium
10,39,94.32,11,0.33,2,8.42,1,0,0,0,1,0,High
6,21,35.19,10,0.44,1,16.09,0,0,0,2,4,2,Medium
7,21,31.47,7,0.47,1,8.95,2,1,0,2,0,0,Medium
8,46,82.12,7,0.1,0,19.44,4,0,0,0,4,1,High
4,25,21.21,2,0.35,0,26.8,4,1,0,1,1,1,Medium
0,31,38.06,3,0.26,0,12.6,3,1,0,1,2,2,Medium
2,27,96.11,11,0.27,1,19.08,3,1,0,0,0,1,Medium
6,33,65.91,5,0.47,2,28.84,4,1,0,1,0,0,Medium
10,39,68.19,9,0.35,0,22.12,2,1,1,2,4,2,High
6,14,57.21,6,0.17,1,5.51,3,1,0,3,4,0,Low
8,34,8.54,9,0.39,1,16.32,3,0,0,2,0,1,Medium
8,31,68.84,5,0.26,1,28.41,2,1,0,1,3,2,Medium
2,48,80.86,3,0.42,2,13.69,2,0,0,3,0,2,High
7,37,73.06,10,0.16,1,11.67,0,0,0,1,0,0,High
6,6,12.27,4,0.19,2,8.98,3,1,0,0,3,1,Low
5,26,53.57,5,0.1,2,23.3,0,1,0,0,1,1,Medium
1,29,15.05,4,0.3,1,21.69,3,1,0,0,0,0,Medium
9,32,73.25,2,0.4,0,19.71,3,1,0,1,0,1,Medium
3,5,97.42,5,0.3,0,14.66,4,1,0,1,0,2,Low
5,19,50.68,5,0.48,1,20.25,4,1,0,0,0,2,Medium
5,9,16.62,11,0.11,1,11.53,2,0,0,3,4,2,Low
6,17,38.55,10,0.48,2,6.17,3,0,0,0,3,2,Medium
6,38,48.64,10,0.08,1,14.74,0,0,0,1,1,0,High
9,1,55.13,5,0.15,2,19.12,1,1,1,3,1,2,Low
9,13,46.22,2,0.28,1,26.37,1,1,1,2,3,2,Low
9,21,21.61,11,0.14,1,8.0,2,0,0,2,2,1,Medium
10,14,50.24,9,0.33,2,14.85,2,0,0,2,0,2,Low
10,14,88.29,0,0.17,1,26.4,3,1,0,1,4,0,Low
7,46,76.61,8,0.37,2,26.88,3,0,0,3,1,1,High
7,8,84.86,4,0.35,1,14.78,0,1,0,3,3,2,Low
2,40,37.89,7,0.35,0,14.35,3,1,0,2,1,0,High
8,25,24.4,4,0.37,2,17.09,1,0,0,3,2,1,Medium
7,18,21.54,1,0.47,1,20.98,4,0,0,0,1,2,Medium
8,13,16.42,10,0.47,1,29.61,2,0,0,0,4,1,Low
1,24,40.66,9,0.31,0,23.86,4,0,0,2,3,2,Medium
10,9,82.52,9,0.11,2,27.39,3,1,0,3,2,0,Low
4,23,90.81,10,0.39,0,24.11,1,0,0,0,0,0,Medium
2,34,26.44,4,0.46,2,21.21,3,1,0,2,3,2,Medium
8,13,86.67,7,0.29,0,14.1,1,0,0,1,4,1,Low
2,40,64.25,8,0.26,1,20.86,4,0,0,1,0,2,High
7,39,50.61,1,0.29,1,24.72,0,1,0,3,0,1,High
3,14,71.2,0,0.17,0,6.19,3,0,0,3,1,0,Low
2,29,57.93,1,0.16,1,14.84,0,1,1,2,3,0,Medium
10,27,19.65,5,0.05,2,12.71,3,0,0,0,3,1,Medium
3,22,42.67,5,0.16,1,14.04,0,0,0,3,0,0,Medium
1,41,72.84,4,0.26,0,11.65,3,1,0,3,1,2,High
4,21,73.75,5,0.21,2,18.93,4,1,1,1,1,0,Medium
4,43,28.0,3,0.28,0,12.17,0,0,0,3,1,1,High
9,25,44.66,5,0.18,1,12.15,0,0,0,3,3,0,Medium
5,29,25.81,1,0.44,0,17.19,1,1,0,2,2,1,Medium
8,22,64.86,6,0.21,1,7.59,3,0,0,3,0,2,Medium
5,13,97.61,9,0.19,1,11.95,2,0,1,2,1,0,Low
5,28,49.71,3,0.13,2,16.58,3,1,1,0,4,2,Medium
5,13,54.24,9,0.05,2,18.42,3,1,0,0,0,1,Low
0,22,60.1,11,0.18,1,29.81,3,1,0,3,4,0,Medium
2,46,94.2,8,0.43,0,19.37,4,0,0,3,4,1,High
7,49,89.78,2,0.13,2,22.42,2,1,1,2,1,2,High
5,27,58.03,9,0.03,1,14.58,4,1,0,0,3,2,Medium
3,30,40.5,2,0.22,1,28.08,0,0,0,1,0,0,Medium
1,28,64.29,0,0.26,0,11.83,0,1,0,3,4,2,Medium
3,47,19.58,2,0.0,1,22.81,4,1,0,1,0,1,High
6,41,76.68,2,0.09,1,5.47,2,0,1,1,4,1,High
3,41,20.77,7,0.45,2,23.32,1,1,0,1,3,0,High
4,35,25.19,11,0.12,1,29.25,3,0,0,3,3,2,Medium
4,8,96.36,5,0.16,2,22.51,4,1,0,0,4,0,Low
8,32,63.41,6,0.13,2,9.99,0,0,0,0,4,2,Medium
8,47,91.85,9,0.15,1,21.25,0,0,0,0,3,2,High
10,43,86.36,6,0.28,1,17.75,2,0,1,2,3,2,High
1,39,69.87,10,0.24,2,13.91,2,1,0,3,2,0,High
0,21,60.12,10,0.23,0,24.69,4,0,0,0,0,1,Medium
0,22,91.54,11,0.01,0,18.69,1,0,0,1,0,2,Medium
6,24,52.13,6,0.27,2,5.36,3,1,0,1,3,2,Medium
1,21,80.95,6,0.24,0,8.2,0,1,0,1,2,0,Medium
5,44,15.2,0,0.36,2,24.25,1,0,0,2,4,0,High
5,36,51.43,8,0.36,2,8.86,1,0,0,3,3,0,High
1,4,46.67,10,0.45,0,11.46,3,0,1,0,4,0,Low
8,44,40.2,3,0.12,1,7.43,3,1,0,1,1,0,High
9,8,16.88,2,0.12,2,21.52,2,1,0,2,4,2,Low
10,4,88.88,9,0.27,1,21.87,0,1,0,0,0,1,Low
7,10,53.6,9,0.37,2,10.45,0,0,0,0,2,0,Low
7,12,98.41,7,0.22,0,24.22,3,0,0,2,3,0,Low
7,33,8.77,6,0.46,1,22.82,3,0,0,3,4,0,Medium
9,37,80.23,8,0.11,2,24.29,0,0,0,0,1,0,High
3,1,9.86,8,0.12,1,25.48,0,1,0,1,0,1,Low
5,17,7.35,5,0.13,1,18.48,1,0,0,0,4,2,Medium
5,14,31.64,6,0.21,1,18.57,1,0,0,2,4,0,Low
1,40,94.35,7,0.46,2,17.74,3,1,0,0,4,2,High
0,24,56.23,11,0.11,1,7.41,0,0,0,3,4,1,Medium
7,18,11.14,9,0.17,2,18.76,3,0,0,2,2,0,Medium
4,16,89.67,8,0.14,2,28.62,1,0,0,2,0,0,Medium
2,16,10.37,2,0.32,2,8.04,2,1,0,1,0,0,Medium
6,35,16.72,4,0.18,2,29.43,3,1,1,1,1,2,Medium
10,4,28.38,4,0.37,1,19.93,3,1,0,0,2,1,Low
7,34,25.58,11,0.36,2,19.45,1,0,0,2,1,1,Medium
3,33,43.28,8,0.32,2,25.87,3,0,1,1,1,0,Medium
5,23,12.5,1,0.43,0,6.48,0,1,0,3,2,2,Medium
8,10,32.08,5,0.3,0,27.59,0,1,0,1,0,2,Low
2,11,76.81,11,0.49,1,22.34,1,1,0,2,0,2,Low
1,4,40.37,9,0.05,1,7.91,1,0,0,2,3,0,Low
6,28,85.17,4,0.41,2,17.22,1,1,1,0,1,1,Medium
1,12,29.61,5,0.14,1,17.67,1,0,0,3,0,1,Low
9,17,45.59,2,0.32,2,29.2,4,0,0,2,4,2,Medium
1,5,39.91,0,0.47,2,19.2,4,0,0,0,0,1,Low
7,32,55.13,6,0.25,0,25.12,1,0,0,3,0,1,Medium
3,2,97.69,10,0.19,1,6.99,4,0,0,2,4,0,Low
1,13,11.69,8,0.46,2,21.5,3,1,0,1,3,2,Low
6,21,99.52,10,0.36,2,15.98,0,1,1,3,4,1,Medium
2,13,21.74,5,0.09,1,27.78,3,1,0,1,0,1,Low
4,32,18.39,4,0.46,2,6.09,2,0,0,0,2,0,Medium
6,37,69.98,8,0.36,0,28.19,0,0,0,1,0,0,High
8,41,78.92,11,0.3,1,12.0,4,1,0,0,3,2,High
4,20,41.4,11,0.04,0,25.25,3,0,0,2,1,0,Medium
0,1,74.17,6,0.32,0,22.48,3,1,0,3,0,0,Low
8,47,43.19,5,0.39,1,8.12,1,0,0,0,2,0,High
0,47,72.25,7,0.27,0,14.21,3,0,1,3,4,0,High
4,23,81.22,3,0.4,1,8.23,0,1,0,3,1,0,Medium
5,13,69.26,2,0.04,1,19.66,2,0,0,1,1,1,Low
5,5,37.13,8,0.08,1,6.55,2,1,0,3,2,1,Low
9,35,40.48,2,0.27,2,5.12,4,1,0,2,3,1,Medium
8,4,31.59,4,0.44,2,6.75,2,0,0,2,3,0,Low
7,29,82.18,9,0.11,1,25.75,1,1,0,1,4,2,Medium
4,2,83.81,1,0.47,0,21.89,0,0,0,1,3,1,Low
0,48,31.58,11,0.06,0,17.71,4,1,0,0,1,2,High
10,3,50.56,1,0.29,2,9.95,2,0,0,0,0,1,Low
5,22,36.7,6,0.1,2,23.94,1,1,0,2,1,1,Medium
7,14,96.96,9,0.38,2,28.34,3,1,1,2,0,2,Low
7,13,60.91,9,0.13,2,22.44,2,1,0,1,0,2,Low
8,2,86.68,1,0.49,2,14.62,4,1,0,0,3,2,Low
7,9,54.34,7,0.45,1,20.56,2,1,0,1,3,2,Low
5,16,23.98,2,0.1,0,8.61,4,1,0,3,4,0,Medium
9,12,33.81,3,0.49,0,13.34,3,1,0,3,4,1,Low
10,45,54.79,7,0.04,0,13.37,2,1,0,0,2,0,High
7,2,44.23,8,0.42,0,29.07,2,0,0,0,0,0,Low
4,38,9.45,4,0.19,2,18.16,3,0,0,1,4,1,High
9,15,94.57,0,0.47,1,17.23,3,0,0,1,1,2,Low
7,11,80.14,1,0.35,1,15.61,0,0,0,1,0,0,Low
3,18,99.44,10,0.24,0,5.87,2,0,0,3,2,0,Medium
10,25,73.14,9,0.39,0,21.78,4,0,1,2,2,0,Medium
8,8,2.84,0,0.49,0,25.17,4,1,0,0,4,0,Low
1,20,69.83,9,0.18,1,27.56,4,1,0,2,1,1,Medium
0,26,86.69,7,0.18,0,18.2,1,1,0,3,0,1,Medium
2,40,94.35,10,0.05,0,13.89,3,1,0,1,2,1,High
1,10,6.68,7,0.43,1,6.95,1,1,1,3,2,2,Low
6,8,6.12,9,0.12,0,16.46,0,0,0,1,4,2,Low
8,40,64.01,9,0.22,1,19.27,1,1,0,3,2,1,High
0,30,66.91,9,0.32,0,24.79,2,1,0,1,4,1,Medium
0,39,44.96,6,0.47,2,28.64,0,0,0,3,1,1,High
4,6,94.98,10,0.02,2,19.27,0,1,0,1,0,1,Low
8,34,88.75,8,0.27,1,28.94,1,1,0,3,2,1,Medium
0,47,41.96,10,0.39,1,15.38,2,1,0,1,4,0,High
8,16,56.24,1,0.48,1,6.41,3,1,0,1,1,0,Medium
5,19,82.18,4,0.14,2,11.94,0,0,1,3,1,0,Medium
1,3,60.95,9,0.14,0,14.07,2,1,0,0,1,0,Low
